USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24510130100	301238	0	0.116	0.	39.3152325	-76.6343935                                                                                                                                                 
MD	24510130200	346792	0	0.134	0.	39.3122952	-76.6306383                                                                                                                                                 
MD	24510130300	359731	0	0.139	0.	39.3123572	-76.6406686                                                                                                                                                 
MD	24510130400	2612954	203955	1.009	0.079	39.3225962	-76.6448717                                                                                                                                        
MD	24510130600	872125	3815	0.337	0.001	39.3264635	-76.6304217                                                                                                                                           
MD	24510130700	1055558	0	0.408	0.	39.3366684	-76.6316576                                                                                                                                                
MD	24510130803	693566	0	0.268	0.	39.3402502	-76.6433643                                                                                                                                                 
MD	24510130804	737978	0	0.285	0.	39.3312836	-76.6384027                                                                                                                                                 
MD	24510130805	1632325	6396	0.63	0.002	39.3521339	-76.6522287                                                                                                                                           
MD	24510130806	1406474	707	0.543	0.	39.3346113	-76.6503321                                                                                                                                              
MD	24510140100	566966	0	0.219	0.	39.3077211	-76.6256874                                                                                                                                                 
MD	24510140200	395229	0	0.153	0.	39.303753	-76.6321873                                                                                                                                                  
MD	24510140300	389282	0	0.15	0.	39.3078099	-76.6361904                                                                                                                                                  
MD	24510150100	369345	0	0.143	0.	39.3061672	-76.6417556                                                                                                                                                 
MD	24510150200	420325	0	0.162	0.	39.3063661	-76.6480486                                                                                                                                                 
MD	24510150300	399172	0	0.154	0.	39.3070301	-76.655067                                                                                                                                                  
MD	24510150400	815572	0	0.315	0.	39.3124588	-76.6527287                                                                                                                                                 
MD	24510150500	949477	9673	0.367	0.004	39.3222425	-76.6601005                                                                                                                                           
MD	24510150600	959035	0	0.37	0.	39.3090802	-76.6687936                                                                                                                                                  
MD	24510150701	858015	117437	0.331	0.045	39.3193302	-76.6678344                                                                                                                                         
MD	24510150702	391519	0	0.151	0.	39.3128159	-76.6678751                                                                                                                                                 
MD	24510150800	1089494	0	0.421	0.	39.3189672	-76.6778103                                                                                                                                                
MD	24510150900	1447256	1171	0.559	0.	39.3142207	-76.6842999                                                                                                                                             
MD	24510151000	1484010	0	0.573	0.	39.3333561	-76.6843834                                                                                                                                                
MD	24510151100	1698800	0	0.656	0.	39.3303769	-76.6723437                                                                                                                                                
MD	24510151200	777390	0	0.3	0.	39.3310266	-76.6599142                                                                                                                                                   
MD	24510151300	927386	0	0.358	0.	39.3378526	-76.6661876                                                                                                                                                 
MD	24510160100	382639	0	0.148	0.	39.2980892	-76.6363266                                                                                                                                                 
MD	24510160200	374068	0	0.144	0.	39.298715	-76.6408488                                                                                                                                                  
MD	24510160300	255076	0	0.098	0.	39.2985728	-76.6444023                                                                                                                                                 
MD	24510160400	401142	0	0.155	0.	39.2981335	-76.6481618                                                                                                                                                 
MD	24510160500	1036560	0	0.4	0.	39.2993805	-76.6555827                                                                                                                                                  
MD	24510160600	558111	0	0.215	0.	39.2967421	-76.6640109                                                                                                                                                 
MD	24510160700	953875	14242	0.368	0.005	39.3020563	-76.6686304                                                                                                                                          
MD	24510160801	389703	0	0.15	0.	39.298094	-76.6840558                                                                                                                                                   
MD	24510160802	1226587	0	0.474	0.	39.3002221	-76.6796308                                                                                                                                                
MD	24510170100	282140	0	0.109	0.	39.2971188	-76.6227994                                                                                                                                                 
MD	24510170200	494006	0	0.191	0.	39.3011752	-76.6257103                                                                                                                                                 
MD	24510170300	305829	0	0.118	0.	39.2974131	-76.6305876                                                                                                                                                 
MD	24510180100	341616	0	0.132	0.	39.2917118	-76.6307804                                                                                                                                                 
MD	24510180200	234701	0	0.091	0.	39.2914657	-76.6361389                                                                                                                                                 
MD	24510180300	289563	0	0.112	0.	39.2873082	-76.6329977                                                                                                                                                 
MD	24510190100	383127	0	0.148	0.	39.2912223	-76.6418544                                                                                                                                                 
MD	24510190200	282075	0	0.109	0.	39.2849727	-76.6401704                                                                                                                                                 
MD	24510190300	375717	0	0.145	0.	39.2839729	-76.6444254                                                                                                                                                 
MD	24510200100	264900	0	0.102	0.	39.2909656	-76.6478189                                                                                                                                                 
MD	24510200200	925146	0	0.357	0.	39.2908648	-76.6588372                                                                                                                                                 
MD	24510200300	238680	0	0.092	0.	39.2840961	-76.6482091                                                                                                                                                 
MD	24510200400	387906	0	0.15	0.	39.2856222	-76.6558429                                                                                                                                                  
MD	24510200500	671226	0	0.259	0.	39.280496	-76.6538423                                                                                                                                                  
MD	24510200600	1770698	30330	0.684	0.012	39.284012	-76.6637324                                                                                                                                          
MD	24510200701	1203683	0	0.465	0.	39.2900137	-76.6807033                                                                                                                                                
MD	24510200702	288171	0	0.111	0.	39.2847467	-76.6755998                                                                                                                                                 
MD	24510200800	1067262	0	0.412	0.	39.2801762	-76.6793608                                                                                                                                                
MD	24510210100	1288090	192279	0.497	0.074	39.2766193	-76.6265676                                                                                                                                        
MD	24510210200	2335519	12265	0.902	0.005	39.276486	-76.6396677                                                                                                                                          
MD	24510220100	1156857	284941	0.447	0.11	39.2827739	-76.6139104                                                                                                                                         
MD	24510230100	336352	0	0.13	0.	39.2758115	-76.6170686                                                                                                                                                  
MD	24510230200	217596	0	0.084	0.	39.2740126	-76.6134847                                                                                                                                                 
MD	24510230300	1312475	711520	0.507	0.275	39.2643329	-76.6193615                                                                                                                                        
MD	24510240100	1882249	2352887	0.727	0.908	39.2651243	-76.5874565                                                                                                                                       
MD	24510240200	435843	311903	0.168	0.12	39.2736267	-76.60028                                                                                                                                            
MD	24510240300	200576	0	0.077	0.	39.2758588	-76.6105163                                                                                                                                                 
MD	24510240400	1205004	965344	0.465	0.373	39.2645268	-76.6055985                                                                                                                                        
MD	24510250101	962784	0	0.372	0.	39.2771141	-76.7003721                                                                                                                                                 
MD	24510250102	737636	0	0.285	0.	39.2773395	-76.6901916                                                                                                                                                 
MD	24510250103	2587958	0	0.999	0.	39.2687004	-76.6776588                                                                                                                                                
MD	24510250203	923337	361546	0.357	0.14	39.2451631	-76.6164269                                                                                                                                          
MD	24510250204	861732	0	0.333	0.	39.2471578	-76.6271723                                                                                                                                                 
MD	24510250205	2316099	14427	0.894	0.006	39.2506457	-76.6403025                                                                                                                                         
MD	24510250206	2549600	18103	0.984	0.007	39.2660587	-76.6622617                                                                                                                                         
MD	24510250207	917475	380163	0.354	0.147	39.253797	-76.6279535                                                                                                                                          
MD	24510250301	1890115	311271	0.73	0.12	39.2623356	-76.6349462                                                                                                                                          
MD	24510250303	1004607	30795	0.388	0.012	39.268254	-76.6482592                                                                                                                                          
MD	24510250401	1181295	31347	0.456	0.012	39.2367295	-76.6066394                                                                                                                                         
MD	24510250402	702436	0	0.271	0.	39.2307268	-76.6015251                                                                                                                                                 
MD	24510250500	8571196	4070107	3.309	1.571	39.2176239	-76.5823444                                                                                                                                       
MD	24510250600	5673862	9589221	2.191	3.702	39.2368421	-76.574832                                                                                                                                        
MD	24510260101	1635742	0	0.632	0.	39.343888	-76.5353622                                                                                                                                                 
MD	24510260102	1451520	0	0.56	0.	39.33497	-76.5404207                                                                                                                                                   
MD	24510260201	1635881	0	0.632	0.	39.3296442	-76.5501117                                                                                                                                                
MD	24510260202	1019290	1618	0.394	0.001	39.3248936	-76.5578044                                                                                                                                          
MD	24510260203	890682	0	0.344	0.	39.3225998	-76.5437977                                                                                                                                                 
MD	24510260301	607369	0	0.235	0.	39.3221262	-76.5666573                                                                                                                                                 
MD	24510260302	896758	0	0.346	0.	39.3170682	-76.5644278                                                                                                                                                 
MD	24510260303	1218969	0	0.471	0.	39.3125926	-76.5604712                                                                                                                                                
MD	24510260401	1341147	0	0.518	0.	39.3062321	-76.5527959                                                                                                                                                
MD	24510260402	1338498	0	0.517	0.	39.3168618	-76.541276                                                                                                                                                 
MD	24510260403	1706884	0	0.659	0.	39.3148057	-76.5350451                                                                                                                                                
MD	24510260404	4467271	0	1.725	0.	39.3000661	-76.5528622                                                                                                                                                
MD	24510260501	3217254	3813	1.242	0.001	39.288347	-76.5423935                                                                                                                                           
MD	24510260604	503666	0	0.194	0.	39.2786758	-76.5388371                                                                                                                                                 
MD	24510260605	10012122	7154314	3.866	2.762	39.2583782	-76.5496645                                                                                                                                      
MD	24510260700	754987	0	0.292	0.	39.2864773	-76.5586488                                                                                                                                                 
MD	24510260800	311708	0	0.12	0.	39.2901606	-76.5659569                                                                                                                                                  
MD	24510260900	550656	0	0.213	0.	39.2833026	-76.5656489                                                                                                                                                 
MD	24510261000	310026	0	0.12	0.	39.2935829	-76.5708757                                                                                                                                                  
MD	24510261100	219781	0	0.085	0.	39.2829568	-76.570055                                                                                                                                                  
MD	24510270101	954112	2251	0.368	0.001	39.3332755	-76.568432                                                                                                                                            
MD	24510270102	1021030	0	0.394	0.	39.3384113	-76.5597082                                                                                                                                                
MD	24510270200	938519	0	0.362	0.	39.3406569	-76.5744298                                                                                                                                                 
MD	24510270301	1138586	0	0.44	0.	39.3488225	-76.5722949                                                                                                                                                 
MD	24510270302	519259	0	0.2	0.	39.3448975	-76.5638561                                                                                                                                                   
