USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24001000100	486755796	7821335	187.937	3.02	39.6365143	-78.5094487                                                                                                                                    
MD	24001000200	124508288	3080200	48.073	1.189	39.6123134	-78.7031037                                                                                                                                    
MD	24001000300	22375901	5874	8.639	0.002	39.7076691	-78.7441413                                                                                                                                         
MD	24001000400	9642972	61044	3.723	0.024	39.6843864	-78.7270568                                                                                                                                         
MD	24001000500	11451817	157507	4.422	0.061	39.6546637	-78.7294891                                                                                                                                       
MD	24001000600	4098568	70648	1.582	0.027	39.6409546	-78.7398353                                                                                                                                         
MD	24001000700	1844978	0	0.712	0.	39.6329587	-78.7526552                                                                                                                                                
MD	24001000800	3271526	408357	1.263	0.158	39.6288831	-78.7630037                                                                                                                                        
MD	24001001000	1178741	2863	0.455	0.001	39.657356	-78.7675027                                                                                                                                           
MD	24001001100	780807	34137	0.301	0.013	39.6510064	-78.7722271                                                                                                                                          
MD	24001001200	7227222	224135	2.79	0.087	39.6560734	-78.787004                                                                                                                                          
MD	24001001300	9705281	304110	3.747	0.117	39.6170751	-78.8129207                                                                                                                                        
MD	24001001401	38008752	6788	14.675	0.003	39.6432593	-78.8338076                                                                                                                                        
MD	24001001402	2972300	0	1.148	0.	39.6519409	-78.8099591                                                                                                                                                
MD	24001001502	23694518	95956	9.149	0.037	39.7083262	-78.8029698                                                                                                                                        
MD	24001001503	29897893	10162	11.544	0.004	39.7091742	-78.8684222                                                                                                                                       
MD	24001001600	19366810	7772	7.478	0.003	39.6898438	-78.9301097                                                                                                                                         
MD	24001001700	32782303	26908	12.657	0.01	39.6632838	-78.8720813                                                                                                                                        
MD	24001001800	9089058	2338	3.509	0.001	39.6570617	-78.9459687                                                                                                                                          
MD	24001001900	62648902	73800	24.189	0.028	39.6087821	-78.9348917                                                                                                                                       
MD	24001002000	69415947	1288934	26.802	0.498	39.5639618	-78.893989                                                                                                                                      
MD	24001002100	62539848	62197	24.147	0.024	39.5551974	-78.9860824                                                                                                                                       
MD	24001002200	60203797	1056377	23.245	0.408	39.4980725	-78.9858124                                                                                                                                     
MD	24003701101	7332046	1191220	2.831	0.46	38.9315963	-76.5756683                                                                                                                                        
MD	24003701102	5013158	1605111	1.936	0.62	38.9351084	-76.5513663                                                                                                                                        
MD	24003701200	14554242	7495100	5.619	2.894	38.9027195	-76.5155361                                                                                                                                      
MD	24003701300	101097581	0	39.034	0.	38.8895127	-76.6408659                                                                                                                                             
MD	24003701400	55124566	7874033	21.284	3.04	38.872325	-76.572429                                                                                                                                        
MD	24003702100	22552038	4706546	8.707	1.817	39.0477861	-76.5998868                                                                                                                                      
MD	24003702204	2531482	0	0.977	0.	38.9957081	-76.6908293                                                                                                                                                
MD	24003702205	4638060	0	1.791	0.	39.0084143	-76.6922957                                                                                                                                                
MD	24003702206	3573906	0	1.38	0.	39.0112905	-76.669753                                                                                                                                                  
MD	24003702208	4207284	0	1.624	0.	39.0316327	-76.6666917                                                                                                                                                
MD	24003702209	2176676	0	0.84	0.	39.0209496	-76.6838414                                                                                                                                                 
MD	24003702300	40671366	993113	15.703	0.383	38.9721265	-76.6535183                                                                                                                                      
MD	24003702402	12298629	1106722	4.749	0.427	38.9765291	-76.5659981                                                                                                                                      
MD	24003702500	7347529	2848979	2.837	1.1	38.96222	-76.5264133                                                                                                                                           
MD	24003702601	6496663	3229062	2.508	1.247	38.9388829	-76.5066358                                                                                                                                       
MD	24003702602	8028601	5344065	3.1	2.063	38.9295692	-76.4717492                                                                                                                                         
MD	24003702701	4696634	969932	1.813	0.374	38.9959409	-76.5224484                                                                                                                                        
MD	24003702702	13392247	3831487	5.171	1.479	39.0169711	-76.5514142                                                                                                                                      
MD	24003706101	1216537	249211	0.47	0.096	38.9772243	-76.492289                                                                                                                                          
MD	24003706301	2177519	919027	0.841	0.355	38.9541818	-76.4722362                                                                                                                                        
MD	24003706302	1439120	973889	0.556	0.376	38.9687794	-76.4822873                                                                                                                                        
MD	24003706401	2216278	19353	0.856	0.007	38.9596857	-76.5052501                                                                                                                                         
MD	24003706402	1113220	149220	0.43	0.058	38.9652738	-76.494521                                                                                                                                          
MD	24003706500	2868554	54878	1.108	0.021	38.972976	-76.522379                                                                                                                                           
MD	24003706600	4048672	728010	1.563	0.281	38.988232	-76.5105433                                                                                                                                         
MD	24003706700	1394268	936996	0.538	0.362	38.985208	-76.4878325                                                                                                                                         
MD	24003707001	27656289	9371759	10.678	3.618	38.8218673	-76.5327774                                                                                                                                     
MD	24003707002	10978834	3896639	4.239	1.505	38.7871085	-76.538641                                                                                                                                       
MD	24003708001	43044026	4437882	16.619	1.713	38.7483483	-76.5739064                                                                                                                                     
MD	24003708004	68376385	1420872	26.4	0.549	38.8010585	-76.6451073                                                                                                                                       
MD	24003730100	23954163	4971007	9.249	1.919	39.1732112	-76.5482159                                                                                                                                      
MD	24003730203	2276649	121507	0.879	0.047	39.1460402	-76.5943346                                                                                                                                        
MD	24003730204	4726189	0	1.825	0.	39.1440233	-76.5779361                                                                                                                                                
MD	24003730300	2053197	31174	0.793	0.012	39.1537233	-76.6069728                                                                                                                                         
MD	24003730401	2205236	0	0.851	0.	39.1542757	-76.6314101                                                                                                                                                
MD	24003730402	3097990	0	1.196	0.	39.1445285	-76.6166655                                                                                                                                                
MD	24003730502	3947154	0	1.524	0.	39.1307465	-76.6083007                                                                                                                                                
MD	24003730504	4257293	0	1.644	0.	39.1189957	-76.61564                                                                                                                                                  
MD	24003730505	1156580	0	0.447	0.	39.1269507	-76.635316                                                                                                                                                 
MD	24003730506	1285398	0	0.496	0.	39.1331306	-76.6282812                                                                                                                                                
MD	24003730601	7663894	453014	2.959	0.175	39.0992558	-76.6125962                                                                                                                                        
MD	24003730603	6409686	3175	2.475	0.001	39.104881	-76.5850585                                                                                                                                           
MD	24003730604	7213891	268962	2.785	0.104	39.0881615	-76.579158                                                                                                                                         
MD	24003730700	6875587	4558498	2.655	1.76	39.065269	-76.5574189                                                                                                                                         
MD	24003730800	7415763	2892838	2.863	1.117	39.033487	-76.5202821                                                                                                                                        
MD	24003730901	9123854	4281825	3.523	1.653	38.998981	-76.47178                                                                                                                                          
MD	24003730902	15485423	4955957	5.979	1.914	39.0072068	-76.4432215                                                                                                                                      
MD	24003731002	7574623	3342523	2.925	1.291	39.0291487	-76.4152462                                                                                                                                       
MD	24003731003	3188432	1225329	1.231	0.473	39.0442342	-76.4413282                                                                                                                                       
MD	24003731004	1882773	103850	0.727	0.04	39.0488108	-76.4521535                                                                                                                                         
MD	24003731102	7247357	2585447	2.798	0.998	39.0563016	-76.47295                                                                                                                                         
MD	24003731103	8562086	0	3.306	0.	39.0343178	-76.4946333                                                                                                                                                
MD	24003731104	2466519	675384	0.952	0.261	39.0574102	-76.496011                                                                                                                                         
MD	24003731105	2718244	953327	1.05	0.368	39.0688644	-76.5027325                                                                                                                                         
MD	24003731201	5269673	1322333	2.035	0.511	39.0661752	-76.5238577                                                                                                                                       
MD	24003731202	16663482	8994694	6.434	3.473	39.0919722	-76.4894907                                                                                                                                      
MD	24003731203	8157743	561139	3.15	0.217	39.1000975	-76.5476869                                                                                                                                         
MD	24003731204	11127289	144824	4.296	0.056	39.1214756	-76.5575969                                                                                                                                       
MD	24003731303	18296910	19467650	7.064	7.517	39.0992681	-76.4535079                                                                                                                                     
MD	24003731306	16003223	9012315	6.179	3.48	39.144659	-76.4656159                                                                                                                                        
MD	24003731307	6275243	23859	2.423	0.009	39.1270648	-76.5071026                                                                                                                                         
MD	24003731308	1634461	1215507	0.631	0.469	39.1650148	-76.5098833                                                                                                                                       
MD	24003731309	2648320	608142	1.023	0.235	39.147901	-76.5208383                                                                                                                                         
MD	24003731310	2238648	401032	0.864	0.155	39.1448788	-76.5344405                                                                                                                                        
MD	24003731311	3799391	168416	1.467	0.065	39.1363416	-76.55125                                                                                                                                          
MD	24003740102	18509704	0	7.147	0.	39.1497545	-76.7508019                                                                                                                                               
MD	24003740103	6054409	0	2.338	0.	39.1450225	-76.713054                                                                                                                                                 
MD	24003740104	4207663	0	1.625	0.	39.1295218	-76.715051                                                                                                                                                 
MD	24003740105	1733285	0	0.669	0.	39.119983	-76.7014493                                                                                                                                                 
MD	24003740201	5319757	0	2.054	0.	39.1422521	-76.6459761                                                                                                                                                
MD	24003740203	9239388	0	3.567	0.	39.1209551	-76.6669492                                                                                                                                                
MD	24003740303	4598684	0	1.776	0.	39.1182004	-76.6908605                                                                                                                                                
MD	24003740304	6490720	0	2.506	0.	39.0898695	-76.6931639                                                                                                                                                
MD	24003740305	3483604	0	1.345	0.	39.1064424	-76.7124895                                                                                                                                                
MD	24003740400	2705357	0	1.045	0.	39.1354606	-76.7778306                                                                                                                                                
MD	24003740500	9643471	0	3.723	0.	39.1106394	-76.8074682                                                                                                                                                
MD	24003740601	5220910	0	2.016	0.	39.1227701	-76.7571859                                                                                                                                                
MD	24003740602	4307376	0	1.663	0.	39.1185788	-76.7352949                                                                                                                                                
MD	24003740603	47672871	124285	18.407	0.048	39.065069	-76.7566355                                                                                                                                       
MD	24003740701	2787969	0	1.076	0.	39.0696071	-76.7150127                                                                                                                                                
MD	24003740702	28268100	0	10.914	0.	39.0331687	-76.7160483                                                                                                                                              
MD	24003740800	20233327	25677	7.812	0.01	39.0673318	-76.6637965                                                                                                                                         
MD	24003740900	5374722	0	2.075	0.	39.0719756	-76.6937324                                                                                                                                                
MD	24003741000	16668605	0	6.436	0.	39.0963922	-76.6532352                                                                                                                                               
MD	24003750101	1345542	0	0.52	0.	39.2243374	-76.6081259                                                                                                                                                 
MD	24003750102	785173	13704	0.303	0.005	39.2313057	-76.6189363                                                                                                                                          
MD	24003750201	3287938	136642	1.269	0.053	39.2149366	-76.6338246                                                                                                                                        
MD	24003750202	2530561	0	0.977	0.	39.2165337	-76.6199559                                                                                                                                                
MD	24003750203	3039310	4445	1.173	0.002	39.2108433	-76.599672                                                                                                                                           
MD	24003750300	2940756	111041	1.135	0.043	39.2212465	-76.6510054                                                                                                                                        
MD	24003750400	3235007	0	1.249	0.	39.2051023	-76.6494392                                                                                                                                                
MD	24003750801	5075470	0	1.96	0.	39.1837603	-76.6423717                                                                                                                                                 
MD	24003750803	2279376	0	0.88	0.	39.1973128	-76.6243324                                                                                                                                                 
MD	24003750804	3152952	21763	1.217	0.008	39.1815368	-76.622678                                                                                                                                          
MD	24003750900	2910021	0	1.124	0.	39.1668253	-76.6285625                                                                                                                                                
MD	24003751000	3227979	0	1.246	0.	39.1676177	-76.612167                                                                                                                                                 
MD	24003751102	8345617	951838	3.222	0.368	39.1925013	-76.5947761                                                                                                                                        
MD	24003751103	3014250	709588	1.164	0.274	39.1734342	-76.5928562                                                                                                                                        
MD	24003751200	24802508	95429	9.576	0.037	39.1924169	-76.6953868                                                                                                                                        
MD	24003751400	10907652	0	4.211	0.	39.1490812	-76.6739761                                                                                                                                               
MD	24003751500	12765150	0	4.929	0.	39.0922977	-76.8003056                                                                                                                                               
MD	24003751600	20048699	908201	7.741	0.351	38.9946575	-76.600476                                                                                                                                        
MD	24003751700	27736168	0	10.709	0.	39.0180009	-76.6333087                                                                                                                                              
MD	24003980000	13238830	0	5.112	0.	39.176167	-76.6729414                                                                                                                                                
MD	24003990000	0	307233625	0.	118.624	38.9489473	-76.4419058                                                                                                                                            
MD	24005400100	1874574	9219	0.724	0.004	39.2673208	-76.7073699                                                                                                                                          
MD	24005400200	922683	0	0.356	0.	39.2736815	-76.7127755                                                                                                                                                 
MD	24005400400	8966474	7438	3.462	0.003	39.2513184	-76.7293575                                                                                                                                          
MD	24005400500	5796998	0	2.238	0.	39.2543871	-76.7516836                                                                                                                                                
MD	24005400600	968869	0	0.374	0.	39.279055	-76.7183222                                                                                                                                                  
MD	24005400701	1186714	0	0.458	0.	39.2847069	-76.7267257                                                                                                                                                
MD	24005400702	702072	0	0.271	0.	39.2880154	-76.7166223                                                                                                                                                 
MD	24005400800	1472876	0	0.569	0.	39.2794434	-76.7353675                                                                                                                                                
MD	24005400900	1023192	0	0.395	0.	39.2786877	-76.7494396                                                                                                                                                
MD	24005401000	1355602	0	0.523	0.	39.2723515	-76.7444264                                                                                                                                                
MD	24005401101	2929637	0	1.131	0.	39.2981461	-76.7339812                                                                                                                                                
MD	24005401102	3464317	0	1.338	0.	39.3110803	-76.7306313                                                                                                                                                
MD	24005401200	1955197	0	0.755	0.	39.3179076	-76.7179575                                                                                                                                                
MD	24005401301	1155827	0	0.446	0.	39.2959405	-76.7218993                                                                                                                                                
MD	24005401302	593065	0	0.229	0.	39.2945952	-76.7157383                                                                                                                                                 
MD	24005401400	2789320	82236	1.077	0.032	39.2602831	-76.7734131                                                                                                                                         
MD	24005401503	6460970	103129	2.495	0.04	39.2777485	-76.7754851                                                                                                                                         
MD	24005401504	5680856	36704	2.193	0.014	39.2992831	-76.7676124                                                                                                                                         
MD	24005401505	2292136	0	0.885	0.	39.2949894	-76.7480081                                                                                                                                                
MD	24005401506	3528037	45365	1.362	0.018	39.3116085	-76.7803118                                                                                                                                         
MD	24005401507	2715583	0	1.048	0.	39.3133819	-76.7546838                                                                                                                                                
MD	24005402201	39090501	3389119	15.093	1.309	39.3801959	-76.8671733                                                                                                                                     
MD	24005402202	20636669	252189	7.968	0.097	39.3270886	-76.8184311                                                                                                                                       
MD	24005402302	2901560	0	1.12	0.	39.3529064	-76.7771634                                                                                                                                                 
MD	24005402303	2862489	3368	1.105	0.001	39.3452152	-76.754598                                                                                                                                           
MD	24005402304	1540713	0	0.595	0.	39.3410651	-76.7389938                                                                                                                                                
MD	24005402305	1610322	0	0.622	0.	39.3677873	-76.7428975                                                                                                                                                
MD	24005402306	1249025	0	0.482	0.	39.3627619	-76.768278                                                                                                                                                 
MD	24005402307	2229516	5914	0.861	0.002	39.3599183	-76.7490595                                                                                                                                          
MD	24005402403	2046390	73620	0.79	0.028	39.331835	-76.7190897                                                                                                                                           
MD	24005402404	1694696	0	0.654	0.	39.3320711	-76.7319837                                                                                                                                                
MD	24005402405	1412619	0	0.545	0.	39.3239409	-76.7369871                                                                                                                                                
MD	24005402406	2257280	15211	0.872	0.006	39.3257408	-76.7684082                                                                                                                                         
MD	24005402407	6486683	4406	2.505	0.002	39.340334	-76.7697525                                                                                                                                           
MD	24005402503	4854827	12184	1.874	0.005	39.3571092	-76.8041179                                                                                                                                         
MD	24005402504	7960312	12490	3.073	0.005	39.3656942	-76.8333262                                                                                                                                         
MD	24005402505	1252893	1753	0.484	0.001	39.380129	-76.8138013                                                                                                                                           
MD	24005402506	2290488	2042	0.884	0.001	39.3774726	-76.800525                                                                                                                                           
MD	24005402509	3670270	18183	1.417	0.007	39.392405	-76.798709                                                                                                                                           
MD	24005402602	1237874	0	0.478	0.	39.3671621	-76.7805135                                                                                                                                                
MD	24005402603	6057011	35561	2.339	0.014	39.3854328	-76.7701845                                                                                                                                         
MD	24005402604	3630362	0	1.402	0.	39.3729256	-76.7674269                                                                                                                                                
MD	24005403100	1913598	0	0.739	0.	39.353095	-76.7333148                                                                                                                                                 
MD	24005403201	1764536	0	0.681	0.	39.3549038	-76.7215235                                                                                                                                                
MD	24005403202	1165728	0	0.45	0.	39.3432678	-76.7173005                                                                                                                                                 
MD	24005403300	1721044	4597	0.664	0.002	39.3660523	-76.7353449                                                                                                                                          
MD	24005403401	1813726	0	0.7	0.	39.3760649	-76.7321884                                                                                                                                                  
MD	24005403402	3585771	35807	1.384	0.014	39.3741504	-76.7168009                                                                                                                                         
MD	24005403500	3127265	0	1.207	0.	39.3775747	-76.6978219                                                                                                                                                
MD	24005403601	2749138	2126	1.061	0.001	39.3852452	-76.6709775                                                                                                                                          
MD	24005403602	2754967	0	1.064	0.	39.3777775	-76.6642845                                                                                                                                                
MD	24005403701	11343250	17044	4.38	0.007	39.4108806	-76.7411818                                                                                                                                         
MD	24005403702	6327946	4978	2.443	0.002	39.391378	-76.757956                                                                                                                                            
MD	24005403801	11255974	11854	4.346	0.005	39.4337434	-76.7126826                                                                                                                                        
MD	24005403802	9661874	20705	3.73	0.008	39.40641	-76.7049403                                                                                                                                            
MD	24005403803	5771917	4312	2.229	0.002	39.3872155	-76.694527                                                                                                                                           
MD	24005404101	12749670	99020	4.923	0.038	39.4243285	-76.8202043                                                                                                                                        
MD	24005404102	4713530	0	1.82	0.	39.4231213	-76.7942606                                                                                                                                                 
MD	24005404201	2402857	0	0.928	0.	39.443624	-76.7936255                                                                                                                                                 
MD	24005404202	5815917	10669	2.246	0.004	39.4316056	-76.7762307                                                                                                                                         
MD	24005404402	10872306	9755	4.198	0.004	39.4741488	-76.7977129                                                                                                                                         
MD	24005404403	2302034	0	0.889	0.	39.4440222	-76.8184145                                                                                                                                                
MD	24005404404	4208983	11731	1.625	0.005	39.4703962	-76.8259698                                                                                                                                         
MD	24005404501	3100883	0	1.197	0.	39.4568563	-76.8128263                                                                                                                                                
MD	24005404502	1093929	0	0.422	0.	39.4467503	-76.8050358                                                                                                                                                
MD	24005404600	63324911	155755	24.45	0.06	39.5083225	-76.8146134                                                                                                                                        
MD	24005404800	22400568	1207650	8.649	0.466	39.454442	-76.8550132                                                                                                                                       
MD	24005404900	25940393	126693	10.016	0.049	39.4558233	-76.7436978                                                                                                                                      
MD	24005405000	121049148	3163392	46.737	1.221	39.5891874	-76.7735238                                                                                                                                    
MD	24005406000	93361156	2411947	36.047	0.931	39.6806375	-76.736502                                                                                                                                      
MD	24005407001	49878727	238212	19.258	0.092	39.6045199	-76.6762169                                                                                                                                      
MD	24005407002	97179375	185574	37.521	0.072	39.6777876	-76.6167754                                                                                                                                      
MD	24005408100	25976616	296531	10.03	0.114	39.5321363	-76.6402639                                                                                                                                       
MD	24005408200	43298151	217664	16.718	0.084	39.5158203	-76.6987505                                                                                                                                      
MD	24005408302	10923793	31545	4.218	0.012	39.4372153	-76.6759546                                                                                                                                        
MD	24005408303	14620166	37743	5.645	0.015	39.4687427	-76.7121646                                                                                                                                        
MD	24005408304	16647604	23034	6.428	0.009	39.4700629	-76.6919322                                                                                                                                        
MD	24005408400	9960322	67816	3.846	0.026	39.4815609	-76.6522133                                                                                                                                         
MD	24005408502	13032957	2797121	5.032	1.08	39.4567465	-76.5937653                                                                                                                                       
MD	24005408503	2087842	12985	0.806	0.005	39.4607993	-76.6214632                                                                                                                                         
MD	24005408505	4061574	5404	1.568	0.002	39.4507082	-76.6254877                                                                                                                                          
MD	24005408506	1883650	0	0.727	0.	39.4706845	-76.6089015                                                                                                                                                
MD	24005408507	1725396	2405	0.666	0.001	39.4652387	-76.6214365                                                                                                                                          
MD	24005408601	2473658	0	0.955	0.	39.4388041	-76.6148696                                                                                                                                                
MD	24005408602	1719973	0	0.664	0.	39.4272664	-76.6106195                                                                                                                                                
MD	24005408702	2214258	0	0.855	0.	39.4153592	-76.6459383                                                                                                                                                
MD	24005408703	3916161	6600	1.512	0.003	39.4461907	-76.6487871                                                                                                                                          
MD	24005408704	5487317	1117	2.119	0.	39.4267448	-76.6525388                                                                                                                                             
MD	24005408800	2937651	0	1.134	0.	39.4273663	-76.6286048                                                                                                                                                
MD	24005408900	8530322	272253	3.294	0.105	39.4868209	-76.6285734                                                                                                                                        
MD	24005410100	93682281	1707231	36.171	0.659	39.5608448	-76.5865667                                                                                                                                     
MD	24005410200	33646882	2093363	12.991	0.808	39.5019029	-76.5408332                                                                                                                                     
MD	24005411101	21198342	211102	8.185	0.082	39.4510597	-76.4477471                                                                                                                                       
MD	24005411102	24715293	541504	9.543	0.209	39.4291592	-76.4038729                                                                                                                                       
MD	24005411201	36861058	49963	14.232	0.019	39.4895242	-76.4776298                                                                                                                                       
